comm_type,matrix_size,num_procs,nodes,environment,total_time_mean,total_time_std,comm_time_mean,comm_time_std,comp_time_mean,comp_time_std,repetitions
collective,512,32,1,713283,0.039553,0.000272,0.026150,0.001919,0.028481,0.000129,3
collective,1024,32,1,713283,0.292695,0.004203,0.160454,0.004351,0.262233,0.004958,3
collective,2048,32,1,713283,6.504240,0.369688,3.358064,0.400511,6.419826,0.382877,3
sync,512,32,1,713283,0.037889,0.001068,0.018953,0.001262,0.026956,0.000793,3
sync,1024,32,1,713283,0.295437,0.003839,0.160139,0.002823,0.265867,0.004130,3
sync,2048,32,1,713283,6.087959,0.060600,2.932896,0.102664,6.000749,0.051417,3
async,512,32,1,713283,0.038931,0.001281,0.027687,0.001248,0.027938,0.000522,3
async,1024,32,1,713283,0.289992,0.003367,0.157178,0.004246,0.259903,0.003540,3
async,2048,32,1,713283,6.105415,0.042830,2.997377,0.050501,6.046251,0.035101,3
async_new,512,32,1,713283,0.042229,0.004744,0.023794,0.007819,0.027622,0.001691,3
async_new,1024,32,1,713283,0.288370,0.005561,0.128251,0.012182,0.263867,0.003500,3
async_new,2048,32,1,713283,6.287827,0.258180,2.650265,0.514646,6.205667,0.245714,3
