comm_type,matrix_size,num_procs,environment,total_time_mean,total_time_std,comm_time_mean,comm_time_std,comp_time_mean,comp_time_std,repetitions
collective,128,2,local,0.002656,0.000832,0.001799,0.000544,0.000857,0.000319,5
collective,128,4,local,0.003777,0.001824,0.003402,0.001825,0.000374,0.000002,5
collective,128,8,local,0.001411,0.001891,0.001198,0.001905,0.000213,0.000058,5
collective,256,2,local,0.009528,0.000400,0.002108,0.000285,0.007420,0.000250,5
collective,256,4,local,0.009018,0.001112,0.005079,0.001083,0.003938,0.000074,5
collective,256,8,local,0.004877,0.003478,0.002323,0.003815,0.002554,0.000432,5
collective,512,2,local,0.072966,0.003358,0.002919,0.000378,0.070046,0.003633,5
collective,512,4,local,0.047916,0.003366,0.006348,0.001538,0.041567,0.003916,5
collective,512,8,local,0.035679,0.001811,0.002463,0.001990,0.033216,0.000754,5
collective,1024,2,local,0.999725,0.039873,0.003078,0.000364,0.996647,0.039966,5
collective,1024,4,local,1.032892,0.020094,0.002137,0.000335,1.030754,0.020230,5
collective,1024,8,local,0.588482,0.013622,0.003773,0.002077,0.584709,0.013477,5
sync,128,2,local,0.002849,0.000173,0.002118,0.000177,0.000731,0.000010,5
sync,128,4,local,0.005701,0.001301,0.005327,0.001302,0.000374,0.000002,5
sync,128,8,local,0.002789,0.002748,0.002500,0.002840,0.000289,0.000139,5
sync,256,2,local,0.009836,0.000453,0.002416,0.000428,0.007420,0.000267,5
sync,256,4,local,0.009686,0.005288,0.005665,0.005221,0.004021,0.000070,5
sync,256,8,local,0.004367,0.001455,0.001787,0.001126,0.002579,0.000654,5
sync,512,2,local,0.070940,0.002144,0.002739,0.000793,0.068201,0.002365,5
sync,512,4,local,0.051073,0.003320,0.001650,0.000727,0.049422,0.002847,5
sync,512,8,local,0.036227,0.003417,0.004140,0.003578,0.032087,0.003601,5
sync,1024,2,local,0.976648,0.012541,0.002849,0.000323,0.973799,0.012266,5
sync,1024,4,local,1.050467,0.032433,0.002705,0.001334,1.047762,0.032893,5
sync,1024,8,local,0.592810,0.012515,0.006421,0.002683,0.586388,0.014706,5
async_naive,128,2,local,0.002786,0.000357,0.002062,0.000358,0.000724,0.000014,5
async_naive,128,4,local,0.005005,0.000729,0.004630,0.000728,0.000375,0.000001,5
async_naive,128,8,local,0.002413,0.002492,0.002177,0.002535,0.000236,0.000108,5
async_naive,256,2,local,0.009580,0.000316,0.002074,0.000318,0.007506,0.000098,5
async_naive,256,4,local,0.005227,0.002100,0.001214,0.002122,0.004013,0.000068,5
async_naive,256,8,local,0.005038,0.002322,0.002522,0.002171,0.002517,0.000641,5
async_naive,512,2,local,0.076535,0.005901,0.002976,0.000639,0.073559,0.006126,5
async_naive,512,4,local,0.047489,0.002189,0.002895,0.002191,0.044594,0.003969,5
async_naive,512,8,local,0.035828,0.002913,0.004508,0.002900,0.031320,0.003084,5
async_naive,1024,2,local,1.003922,0.032353,0.002730,0.000233,1.001191,0.032409,5
async_naive,1024,4,local,1.118999,0.155699,0.007822,0.004421,1.111176,0.151412,5
async_naive,1024,8,local,0.575731,0.009249,0.005693,0.005033,0.570037,0.006253,5
async,128,2,local,0.003138,0.000755,0.002407,0.000756,0.000731,0.000013,5
async,128,4,local,0.004013,0.002035,0.003637,0.002034,0.000375,0.000002,5
async,128,8,local,0.002417,0.001758,0.002180,0.001821,0.000236,0.000109,5
async,256,2,local,0.009774,0.000071,0.002196,0.000142,0.007577,0.000113,5
async,256,4,local,0.007993,0.002049,0.003969,0.002135,0.004024,0.000094,5
async,256,8,local,0.004705,0.002808,0.002255,0.002863,0.002450,0.000544,5
async,512,2,local,0.083895,0.007060,0.003019,0.001550,0.080875,0.006836,5
async,512,4,local,0.059335,0.001140,0.005833,0.000845,0.053501,0.000689,5
async,512,8,local,0.043734,0.012914,0.007908,0.009737,0.035825,0.003755,5
async,1024,2,local,1.080055,0.013346,0.003342,0.000366,1.076711,0.013239,5
async,1024,4,local,0.975209,0.061490,0.010756,0.012747,0.964452,0.066434,5
async,1024,8,local,0.585293,0.022542,0.003054,0.002020,0.582239,0.022276,5
